language	branch	postposition	postp_id	meaning	type (spatial, temporal, abstract)	source pos	government (nouns)	government (pronouns)	directionality	adverbial use (yes/no)	borrowed (yes/no)	agreement	agreement_stem	agreement_slot	comment	reference
Tabasaran	Lezgic	jerina	588	instead	abstract					0	1	0	0			
Kryz	Lezgic	q'anik	589	under	spatial	noun	genitive	genitive	1	1	0	0	0			
Kryz	Lezgic	adé0	590	on	spatial	noun	genitive	genitive	1	1	0	0	0			
Kryz	Lezgic	q'ale0	591	in the end	spatial	noun	genitive	genitive	1	1	0	0	0			
Kryz	Lezgic	yiq'.ca	592	behind	spatial	noun	genitive	genitive	1	1	0	0	0			
Kryz	Lezgic	yiq'iç'a	593	in	spatial	noun	genitive	genitive	1	1	0	0	0			
Kryz	Lezgic	bigila	594	near	spatial	noun	genitive	genitive	1	1	0	0	0			
Kryz	Lezgic	ǧali	595	about	abstract	noun	superelative	superelative		0	0	0	0			
Kryz	Lezgic	çıxé	596	following	spatial	noun	genitive	genitive		0	0	0	0			
Kryz	Lezgic	çıxé	597	after	temporal	noun	superelative	superelative		0	0	0	0			
Kryz	Lezgic	meq'aw	598	close to	spatial	noun				0	0	0	0			
Kryz	Lezgic	karta	599	till	spatial		dative	dative		0	0	0	0			
Kryz	Lezgic	araca	600	between	spatial		genitive	genitive	1	1	1	0	0			
Kryz	Lezgic	urtaca	601	in the middle	spatial		genitive	genitive			1	0	0			
Kryz	Lezgic	tuşuna	602	opposite	spatial		genitive	genitive			1	0	0			
Kryz	Lezgic	ta0ar	603	like	abstract		genitive	genitive		1	1	0	0			
Kryz	Lezgic	sayaǧ	604	like	abstract		genitive	genitive		1	1	0	0			
Kryz	Lezgic	badala	605	for	abstract		genitive	genitive		0	1	0	0			
Kryz	Lezgic	baraca	606	about	abstract		genitive	genitive		0	1	0	0			
Kryz	Lezgic	ǧayra	607	except	abstract		adelative	adelative		0	1	0	0			
Budukh	Lezgic	q'ocije	608	in the middle	spatial	noun	locative	locative	1	0	0	0	0			
Budukh	Lezgic	q'anik	609	under	spatial	noun	locative	locative	1	0	0	0	0			
Budukh	Lezgic	q'anik	609	under	spatial	noun	genitive	genitive	1	0	0	0	0			
Budukh	Lezgic	ɣada	610	above	spatial	noun	locative	locative	1	1	0	0	0			
Budukh	Lezgic	badala	611	for	abstract		dative	dative		0	1	0	0			
Budukh	Lezgic	badak'	612	beside	spatial	noun	genitive	genitive			0	0	0			
Budukh	Lezgic	araǯa	613	in the middle	spatial	noun	locative	locative	1	1	1	0	0			
Budukh	Lezgic	ɢabaʁǯar	614	before	spatial	noun	locative	locative	1	1	1	0	0			
Budukh	Lezgic	janǯe	615	near	spatial	noun	locative	locative		0	1	0	0			
Budukh	Lezgic	ɢal	616	along up	spatial		comitative	comitative		0	0	0	0			
Budukh	Lezgic	ɣal	617	along down	spatial		comitative	comitative		0	0	0	0			
Budukh	Lezgic	maq'am	618	till	spatial		locative	locative		0	0	0	0			
Budukh	Lezgic	ǯima	619	like	abstract		absolutive	absolutive		0	0	0	0			
Budukh	Lezgic	xakila	620	behind	spatial		locative	locative	1	1	0	0	0			
Budukh	Lezgic	xanˁurən	621	around	spatial		locative	locative		1	0	0	0			
Budukh	Lezgic	xan	622	behind	spatial		locative	locative		1	0	0	0			
Budukh	Lezgic	ˁurən	623	in front of	spatial		locative	locative		0	0	0	0			
Budukh	Lezgic	ˁulər	624	in front of	spatial	noun	locative	locative			0	0	0			
Budukh	Lezgic	əgəm	625	in exchange for	abstract		dative	dative			0	0	0			
Budukh	Lezgic	q'adɨna	626	between	spatial		genitive	genitive		0	1	0	0			
Budukh	Lezgic	jiq'ije	627	in the middle	spatial	noun					0	0	0			
Budukh	Lezgic	urtaǯe	628	in the middle	spatial	noun					0	0	0			
Budukh	Lezgic	alxa	629	behind	spatial					1	0	0	0			
Budukh	Lezgic	ɢaragaǯe	630	around	spatial					1	0	0	0			
Budukh	Lezgic	horeǯe	631	according to	abstract					0	1	0	0			
Budukh	Lezgic	wiǯena	632	with	abstract						0	0	0			
Budukh	Lezgic	dabǯena	633	without	abstract						0	0	0			
Budukh	Lezgic	ǯigaǯa	634	instead	abstract		genitive	genitive		1	0	0	0			
Budukh	Lezgic	boda	635	near	spatial					1	0	0	0			
Archi	Lezgic	k'arak	636	under	spatial		dative	dative	1	1	0	0	0			
Archi	Lezgic	xʷak	637	near	spatial		dative	dative	1	1	0	0	0			
Archi	Lezgic	sababši	638	because of	abstract		absolutive	absolutive		0	1	0	0			
Archi	Lezgic	xʷašul	639	regarding	abstract		dative	dative		0	0	0	0			
Archi	Lezgic	ħaq'liqˁ	640	about	abstract		genitive	genitive		0	1	0	0			
Archi	Lezgic	jatti	641	above	spatial		dative	dative	1	1	0	0	0			
Archi	Lezgic	jatti	641	above	spatial		superelative	superelative	1	1	0	0	0			
Archi	Lezgic	harak	642	ahead	spatial		dative	dative	1	1	0	0	0			
Archi	Lezgic	χarak	643	behind	spatial		dative	dative	1	1	0	0	0			
Archi	Lezgic	χarak	643	behind	spatial		ergative	ergative	1	1	0	0	0			
Archi	Lezgic	χarak	644	after	temporal		superelative	superelative		1	0	0	0			
Archi	Lezgic	lagɨmat	645	around	spatial		absolutive	absolutive	0	1	1	0	0			
Archi	Lezgic	iˁʁda	646	in the middle	spatial		genitive	genitive		0	0	0	0			
Archi	Lezgic	q'ˁon	647	between	spatial		dative	dative	1	1	0	0	0			
Archi	Lezgic	q'ˁon	647	between	spatial		genitive	genitive	1	1	0	0	0			
Archi	Lezgic	xʷat'aw	648	apart from	abstract		absolutive	absolutive		0	0	0	0			
Archi	Lezgic	biqʷ'ma	649	instead	abstract		genitive	genitive		0	0	0	0			
Archi	Lezgic	xʷaːna	650	according to	abstract		genitive	genitive		0	0	0	0			
Archi	Lezgic	e=CL=q'en	651	till	spatial	verb	superlative	superlative		0	0	1	1	infix		
Muxad Rutul	Lezgic	ulixde	652	in front of	spatial	noun	attributive	attributive	1	1	0	0	0			
Muxad Rutul	Lezgic	ulixde	652	in front of	spatial	noun	comparative	comparative	1	1	0	0	0			
Muxad Rutul	Lezgic	begede	653	near	spatial	noun				1	0	0	0			
Muxad Rutul	Lezgic	arɨdi	654	between	spatial	noun	attributive	attributive	1	1	1	0	0			
Muxad Rutul	Lezgic	bejde	655	near	spatial		attributive	attributive	1	1	0	0	0			
Muxad Rutul	Lezgic	jɨˁq'aχda	656	behind	spatial	noun	attributive	attributive	1	1	0	0	0			
Muxad Rutul	Lezgic	eli	657	above	spatial		attributive	attributive	1	1	0	0	0			
Muxad Rutul	Lezgic	eli	657	above	spatial		comparative	comparative	1	1	0	0	0			
Muxad Rutul	Lezgic	xalaa	658	behind	spatial		attributive	attributive	1	1	0	0	0			
Muxad Rutul	Lezgic	xalaa	658	behind	spatial		comparative	comparative	1	1	0	0	0			
Muxad Rutul	Lezgic	q'ule	659	in the beginning	spatial	noun	attributive	attributive		1	0	0	0			
Muxad Rutul	Lezgic	ǯɨbra	660	following	spatial	noun	attributive	attributive	1	1	0	0	0			
Muxad Rutul	Lezgic	ǯɨbra	660	following	spatial	noun	comparative	comparative	1	1	0	0	0			
Muxad Rutul	Lezgic	aa	661	below	spatial		attributive	attributive	1	1	0	0	0			
Muxad Rutul	Lezgic	aa	661	below	spatial		comparative	comparative	1	1	0	0	0			
Muxad Rutul	Lezgic	uu	662	above	spatial		attributive	attributive	1	1	0	0	0			
Muxad Rutul	Lezgic	uu	662	above	spatial		comparative	comparative	1	1	0	0	0			
Muxad Rutul	Lezgic	xura	663	ahead	spatial		comparative	comparative	1	1	0	0	0			
Muxad Rutul	Lezgic	ʔara	664	in	spatial		inessive	inessive	1	1	0	0	0			
Muxad Rutul	Lezgic	ʁara	665	outside	spatial				1	1	0	0	0			
Muxad Rutul	Lezgic	xesɨmaj	666	towards	spatial	noun				1	0	0	0			
Luchek Rutul	Lezgic	quʔ	667	after	temporal		superelative	superelative			0	0	0			
Luchek Rutul	Lezgic	ǯibra	668	following	spatial	noun	genitive	genitive			0	0	0			
Luchek Rutul	Lezgic	bejdɨ	669	nearby	spatial	noun	genitive	genitive			0	0	0			
Luchek Rutul	Lezgic	uː	670	above	spatial		inessive	inessive			0	0	0			
Luchek Rutul	Lezgic	ulik	671	in front of	spatial	noun	genitive	genitive			0	0	0			
Luchek Rutul	Lezgic	yerinen	672	instead	abstract	noun	genitive	genitive			1	0	0			
Agul	Lezgic	qawaq	673	behind	spatial	noun	genitive	genitive	1	1	0	0	0			
Agul	Lezgic	bugulih	674	near	spatial	noun	genitive	genitive	1	1	0	0	0			
Agul	Lezgic	wartːal	675	above	spatial		genitive	genitive	1	1	0	0	0			
Agul	Lezgic	qːiraǧiq	676	on the edge	spatial		genitive	genitive	1	1	0	0	0			
Agul	Lezgic	arajiǧ'	677	between	spatial		genitive	genitive	1	1	1	0	0			
Agul	Lezgic	k'enakʷ	678	below	spatial		genitive	genitive	1	1	0	0	0			
Agul	Lezgic	ǧ'äna'	679	inside	spatial		genitive	genitive	1	1	0	0	0			
Agul	Lezgic	udih	680	in front of	spatial	noun	genitive	genitive	1	1	0	0	0			
Agul	Lezgic	ilah	681	in front of	spatial		genitive	genitive	1		0	0	0			
Agul	Lezgic	badaldi	682	for	abstract		genitive	genitive		0	1	0	0			
Agul	Lezgic	bašʁa	683	except	abstract		superelative	superelative		0	1	0	0			
Agul	Lezgic	ʁajri	684	except	abstract		superelative	superelative		0	1	0	0			
Agul	Lezgic	ħeɢindi	685	instead	abstract		genitive	genitive		0	1	0	0			
Agul	Lezgic	ħeqindias	686	about	abstract		genitive	genitive		0	1	0	0			
Hinuq	Tsezic	purho	687	near	spatial	noun	locessive	locessive	1	1	0	0	0			
Hinuq	Tsezic	ʎ’oq’ʷar	688	opposite	spatial	noun	locessive	locessive	0	1	0	0	0			
Hinuq	Tsezic	ʎ’oq’ʷar	688	opposite	spatial	noun	genitive	genitive	0	1	0	0	0			
Hinuq	Tsezic	sababłun	689	because of	abstract	noun	absolutive	absolutive	0	0	1	0	0			
Hinuq	Tsezic	močaː	690	instead	abstract	noun	genitive	genitive	0	1	0	0	0			
Hinuq	Tsezic	teł	691	in	spatial		contessive	contessive	1	1	0	0	0			
Hinuq	Tsezic	teł	691	in	spatial		inessive	inessive	1	1	0	0	0			
Hinuq	Tsezic	sot'i	692	around	spatial		at-essive	at-essive	1	1	0	0	0			
Hinuq	Tsezic	sot'i	692	around	spatial		locessive	locessive	1	1	0	0	0			
Hinuq	Tsezic	igo	693	near	spatial		locessive	locessive	1	1	0	0	0			
Hinuq	Tsezic	geʎ	694	below	spatial		subessive	subessive	1	1	0	0	0			
Hinuq	Tsezic	geʎ	694	below	spatial		contessive	contessive	1	1	0	0	0			
Hinuq	Tsezic	q'ʷec'e	695	with	abstract		locessive	locessive	0	1	0	0	0			
Hinuq	Tsezic	ʎ'ere	696	on	spatial		superessive	superessive	1	1	0	0	0			
Hinuq	Tsezic	hezzo	697	behind	spatial		contessive	contessive	1	0	0	0	0			
Hinuq	Tsezic	hezzo	697	behind	spatial		locessive	locessive	1	0	0	0	0			
Hinuq	Tsezic	hezzo	698	after	temporal		contessive	contessive		1	0	0	0			
Hinuq	Tsezic	hezzo	698	after	temporal		locessive	locessive		1	0	0	0			
Hinuq	Tsezic	aldoǧo	699	in front of	spatial		contessive	contessive	1	1	0	0	0			
Hinuq	Tsezic	aldoǧo	699	in front of	spatial		locessive	locessive	1	1	0	0	0			
Hinuq	Tsezic	aldoǧo	700	before	temporal		absolutive	absolutive		1	0	0	0			
Hinuq	Tsezic	CL=oʎʎo	701	in the middle	spatial		locessive	locessive	1	1	0	1	1	prefix		
Hinuq	Tsezic	CL=oʎʎo	701	in the middle	spatial		contessive	contessive	1	1	0	1	1	prefix		
Hinuq	Tsezic	CL=oʎʎo	701	in the middle	spatial		inessive	inessive	1	1	0	1	1	prefix		
Hinuq	Tsezic	req'un	702	according to	abstract		superessive	superessive	0	1	1	0	0			
Hinuq	Tsezic	ʔolo	703	because of	abstract		abstract suffix	abstract suffix	0	0	1	0	0			
Hinuq	Tsezic	ʔolo	703	because of	abstract		purposive suffix	purposive suffix	0	0	1	0	0			
Hinuq	Tsezic	sadaq	704	with	abstract		locessive	locessive	0	1	1	0	0			
Hinuq	Tsezic	gosme	705	without	abstract	verb	absolutive	absolutive	0	0	0	0	0			
Hinuq	Tsezic	xecen	706	except	abstract	verb	absolutive	absolutive	0	1	0	0	0			
Hinuq	Tsezic	ʎ'iyo	707	down	spatial				1	1	0	0	0			
Hinuq	Tsezic	dandi	708	towards	spatial		locessive	locessive	1	1	1	0	0			
Hinuq	Tsezic	gurjav	709	except	abstract		absolutive	absolutive	0	0		0	0			
Hinuq	Tsezic	tarav	710	except	abstract		absolutive	absolutive	0	1		0	0			
Hinuq	Tsezic	tarav	710	except	abstract		superelative	superelative	0	1		0	0			
Hinuq	Tsezic	ħaq'moʎ	711	about	abstract		genitive	genitive	0	0	1	0	0			
Khwarshi	Tsezic	puho	712	near	spatial	noun			1	1	0	0	0			
Khwarshi	Tsezic	ʎ'olo	713	up	spatial		superessive	superessive	1	1	0	0	0			
Khwarshi	Tsezic	ʎ'olo	713	up	spatial		genitive	genitive	1	1	0	0	0			
Khwarshi	Tsezic	endu	714	in	spatial				1	1	0	0	0			
Khwarshi	Tsezic	žoquža	715	behind	spatial		genitive	genitive	1	1	0	0	0			
Khwarshi	Tsezic	atǧul	716	in front of	spatial					1	0	0	0			
Khwarshi	Tsezic	gil	717	under	spatial		interessive	interessive	1	1	0	0	0			
Khwarshi	Tsezic	gil	717	under	spatial		subessive	subessive	1	1	0	0	0			
Khwarshi	Tsezic	q'udu	718	down	spatial		subessive	subessive		1	0	0	0			
Khwarshi	Tsezic	solo	719	around	spatial		contessive	contessive		1	0	0	0			
Khwarshi	Tsezic	oge	720	near	spatial		genitive	genitive	1	1	0	0	0			
Khwarshi	Tsezic	oge	720	near	spatial		apudessive	apudessive	1	1	0	0	0			
Khwarshi	Tsezic	hadal	721	together	abstract		interessive	interessive		1	0	0	0			
Khwarshi	Tsezic	CL=oʎoʎ'o	722	in the middle	spatial		genitive	genitive		1	0	1	1	prefix		
Khwarshi	Tsezic	CL=oʎonuq'a	723	in the center	spatial		inessive	inessive		1	0	1	1	prefix		
Khwarshi	Tsezic	dandil	724	towards	spatial		genitive	genitive		1	1	0	0			
Khwarshi	Tsezic	sabalɨn	725	because of	abstract		superessive	superessive		0	1	0	0			
Khwarshi	Tsezic	sabalɨn	725	because of	abstract		absolutive	absolutive		0	1	0	0			
Khwarshi	Tsezic	roqihol	726	according to	abstract		superessive	superessive		0	1	0	0			
Khwarshi	Tsezic	žoho	727	behind	spatial		genitive	genitive	1	1	0	0	0			
Khwarshi	Tsezic	žoho	727	for	abstract		genitive	genitive		1	0	0	0			
Khwarshi	Tsezic	ħaq'eł	728	about	abstract						1	0	0			
Bezhta	Tsezic	labza	729	for	abstract		dative	dative		0	0	0	0			
Bezhta	Tsezic	ʎ'odo	730	above	spatial		superessive	superessive	1	1	0	0	0			
Bezhta	Tsezic	ʎijo	731	below	spatial		dative	dative	1	1	0	0	0			
Bezhta	Tsezic	ʎijo	731	below	spatial		subessive	subessive	1	1	0	0	0			
Bezhta	Tsezic	maˁʁatːa	732	behind	spatial		apudessive	apudessive		1	0	0	0			
Bezhta	Tsezic	hĩca	733	near	spatial		apudessive	apudessive		1	0	0	0			
Bezhta	Tsezic	micaʔ	734	instead	abstract	noun	genitive	genitive		0	0	0	0			
Bezhta	Tsezic	j=aʎo	735	among	spatial		inessive	inessive		1	0	1	1	prefix		
Bezhta	Tsezic	req'on	736	according to	abstract		superessive	superessive		1	1	0	0			
Bezhta	Tsezic	aˁdaˁ	737	before	spatial		adessive	adessive		1	0	0	0			
Bezhta	Tsezic	aˁdaˁ	737	before	spatial		apudessive	apudessive		1	0	0	0			
Bezhta	Tsezic	oˁloˁ	738	for	abstract		dative	dative		0	1	0	0			
Bezhta	Tsezic	edo	739	inside	spatial		inessive	inessive		1	0	0	0			
Bezhta	Tsezic	gisa	740	outside	spatial		inelative	inelative		1	0	0	0			
Bezhta	Tsezic	q'ac'o	741	together	abstract		comitative	comitative		1	0	0	0			
Bezhta	Tsezic	dande	742	against	spatial		dative	dative		1	1	0	0			
Bezhta	Tsezic	šeblaʔ	743	beside	spatial	noun	genitive	genitive		1	0	0	0			
Bezhta	Tsezic	šeblaʔ	743	beside	spatial	noun	apudessive	apudessive		1	0	0	0			
Bezhta	Tsezic	son	744	around	spatial		comitative	comitative		1	0	0	0			
Bezhta	Tsezic	son	744	around	spatial		apudessive	apudessive		1	0	0	0			
Bezhta	Tsezic	gurogo	745	except	abstract		absolutive	absolutive		0	1	0	0			
Bezhta	Tsezic	sababłun	746	because of	abstract		absolutive	absolutive		0	1	0	0			
Bezhta	Tsezic	haˁq'aˁłuł	747	about	abstract		genitive	genitive		0	1	0	0			
Bezhta	Tsezic	tiʁa	748	close to	spatial		adessive	adessive		1	0	0	0			
Bezhta	Tsezic	tiʁa	748	close to	spatial		apudessive	apudessive		1	0	0	0			
Bezhta	Tsezic	tiʁa	748	close to	spatial		contessive	contessive		1	0	0	0			
Bezhta	Tsezic	aʔ	749	except	abstract		absolutive	absolutive		0	0	0	0			
Bezhta	Tsezic	saʔ	750	except	abstract		dative	dative		0	0	0	0			
Bezhta	Tsezic	daːla	751	because of	abstract		instrumental	instrumental		0	0	0	0			
Bezhta	Tsezic	c'iχo	752	far from	spatial		adessive	adessive		1	0	0	0			
Bezhta	Tsezic	muˁʁaˁʎ	753	following	spatial		comitative	comitative		1	0	0	0			
Hunzib	Tsezic	art'o(do)	754	before	temporal		genitive	genitive	1	1	0	0	0			
Hunzib	Tsezic	muǧáʎ	755	after	temporal		genitive	genitive	1	1	0	0	0			
Hunzib	Tsezic	ʎ'odo	756	above	spatial		dative	dative	1	1	0	0	0			
Hunzib	Tsezic	ʎ'odo	756	above	spatial		superessive	superessive	1	1	0	0	0			
Hunzib	Tsezic	ʎirə	757	under	spatial		subessive	subessive	1	1	0	0	0			
Hunzib	Tsezic	ẽdu	758	inside	spatial		dative	dative	1	1	0	0	0			
Hunzib	Tsezic	gišo	759	translative in downward direction	spatial		comitative	comitative	1	1	0	0	0			
Hunzib	Tsezic	gišo	759	translative in downward direction	spatial		dative	dative	1	1	0	0	0			
Hunzib	Tsezic	rišo	760	translative in upward direction	spatial		comitative	comitative		1	0	0	0			
Hunzib	Tsezic	rišo	760	translative in upward direction	spatial		dative	dative		1	0	0	0			
Hunzib	Tsezic	tišo	761	translative in horizontal direction	spatial		comitative	comitative	1	1	0	0	0			
Hunzib	Tsezic	tišo	761	translative in horizontal direction	spatial		dative	dative	1	1	0	0	0			
Hunzib	Tsezic	səro	762	around	spatial		comitative	comitative	1	1	0	0	0			
Hunzib	Tsezic	səro	762	around	spatial		contessive	contessive	1	1	0	0	0			
Hunzib	Tsezic	iːčːo	763	near	spatial		comitative	comitative		1	0	0	0			
Hunzib	Tsezic	č'ixːu	764	far from	spatial		comparative	comparative		1	0	0	0			
Hunzib	Tsezic	ʎeʎ	765	together	abstract		comitative	comitative		1	0	0	0			
Hunzib	Tsezic	ʕúlu(.sa)	766	because of	abstract		dative	dative		0	1	0	0			
Hunzib	Tsezic	dandi	767	against	spatial		dative	dative		1	1	0	0			
Hunzib	Tsezic	CL=aʎʎe	768	in the middle	spatial		inessive	inessive		1	0	1	1	prefix		
Hunzib	Tsezic	ħaq'ałułuł	769	about	abstract		genitive	genitive		1	1	0	0			
Tsez	Tsezic	purħo	770	beside	spatial		apudessive	apudessive		1	0	0	0			
Tsez	Tsezic	ˁolo	771	because of	abstract		absolutive	absolutive		0	1	0	0			
Tsez	Tsezic	dandi	772	against	spatial		subessive	subessive	1	1	1	0	0			
Tsez	Tsezic	adaːz	773	in front of	spatial		inessive	inessive	1	1	0	0	0			
Tsez	Tsezic	bitor	774	away	spatial		subablative	subablative		1	0	0	0			
Tsez	Tsezic	bitor	774	because of	abstract		subablative	subablative		1	0	0	0			
Tsez	Tsezic	q'ˁida	775	under	spatial		superessive	superessive		1	0	0	0			
Tsez	Tsezic	šet'u	776	around	spatial		contessive	contessive	1	1	0	0	0			
Tsez	Tsezic	soder	777	following	spatial		inelative	inelative		1	0	0	0			
Tsez	Tsezic	xizaːz	778	behind	spatial		subessive	subessive	1	1	0	0	0			
Tsez	Tsezic	sabablun	779	because of	abstract		absolutive	absolutive		0	1	0	0			
Tsez	Tsezic	sabablun	779	because of	abstract		genitive	genitive		0	1	0	0			
Tsez	Tsezic	madaħor	780	outside	spatial		inelative	inelative		1	0	0	0			
Tsez	Tsezic	waˁłaj	781	below	spatial				1	1	0	0	0			
Tsez	Tsezic	tełχor	782	into	spatial		inessive	inessive	1	1	0	0	0			
Tsez	Tsezic	gurev	783	except	abstract					0	1	0	0			
Tsez	Tsezic	sadaq	784	together	abstract		apudessive	apudessive		1	1	0	0			
Tsez	Tsezic	taraw	785	except	abstract					0	1	0	0			
Tsez	Tsezic	ʎ'iri	786	on	spatial		superessive	superessive	1	1	0	0	0			
Tsez	Tsezic	CL=iłe	787	like	abstract		absolutive	absolutive		0	0	1	1	prefix		
Khinalug	Khinalug	arar	788	among	spatial	noun	genitive2	genitive2	1	1	1	0	0			
Khinalug	Khinalug	dalɨr	789	behind	spatial	noun	genitive1	genitive1	1	1	1	0	0			
Khinalug	Khinalug	dibir	790	under	spatial	noun	genitive2	genitive2	1	0	1	0	0			
Khinalug	Khinalug	ičir	791	inside	spatial	noun	genitive1	genitive1	1	1	1	0	0			
Khinalug	Khinalug	qabaʁɨr	792	in front of	spatial	noun	genitive1	genitive1	1	1	1	0	0			
Khinalug	Khinalug	qabaʁɨr	793	before	temporal	noun	comparative	comparative		1	1	0	0			
Khinalug	Khinalug	haqɨr	794	about	abstract	noun	genitive1	genitive1		0	1	0	0			
Khinalug	Khinalug	ystyr	795	above	spatial	noun	genitive1	genitive1	1	0	1	0	0			
Khinalug	Khinalug	äväz	796	instead	abstract		genitive2	genitive2			0	0	0			
Khinalug	Khinalug	totuχ	797	after	temporal		apudessive	apudessive		0	0	0	0			
Khinalug	Khinalug	totuχ	797	after	temporal		comparative	comparative		0	0	0	0			
Khinalug	Khinalug	koli	798	near	spatial		genitive1	genitive1	1	1	0	0	0			
Khinalug	Khinalug	koli	798	near	spatial		possessive	possessive	1	1	0	0	0			
Khinalug	Khinalug	dǯaʁ	799	following	spatial		genitive1	genitive1	1	0	0	0	0			
Khinalug	Khinalug	k'anɨk'	800	under	spatial	noun	genitive1	genitive1	1	1	0	0	0			
Khinalug	Khinalug	gus	801	above	spatial		genitive1	genitive1	1	1	0	0	0			
Khinalug	Khinalug	lant'an	802	till	spatial		absolutive	absolutive		0	0	0	0			
Khinalug	Khinalug	lant'an	802	till	spatial		apudessive	apudessive		0	0	0	0			
Khinalug	Khinalug	čimi	803	for	abstract		apudessive	apudessive		0	0	0	0			
Khinalug	Khinalug	herendaˁ	804	except	abstract		comparative	comparative			0	0	0			
Khinalug	Khinalug	baraˁr	805	about	abstract		genitive1	genitive1		0	0	0	0			
Khinalug	Khinalug	bašχa	806	except	abstract		apudessive	apudessive		0	1	0	0			
Khinalug	Khinalug	bugːrɨ	807	beside	spatial	noun	genitive1	genitive1	1	1	0	0	0			
Khinalug	Khinalug	zant'ɨni	808	till	spatial		apudessive	apudessive		0	0	0	0			
Khinalug	Khinalug	inkːaˁχ	809	to	spatial	noun	absolutive	absolutive		0	0	0	0			
Khinalug	Khinalug	ɢaraʁɨr	810	near	spatial	noun	genitive1	genitive1		0	0	0	0			
Khinalug	Khinalug	ɢaršɨr	811	opposite	spatial	noun	genitive1	genitive1		0	1	0	0			
Khinalug	Khinalug	k'iχ	812	following	spatial					1	0	0	0			
Khinalug	Khinalug	miq'el	813	near	spatial	adjective	apudessive	apudessive		0	0	0	0			
Khinalug	Khinalug	taltːɨka	814	after	temporal					1	0	0	0			